"diseaseId","diseaseName","drugId","drugName","type","mechanismOfAction","actionType","symbol","name","phase","status","source"
"MONDO_0100096","COVID-19","CHEMBL1201476","ENOXAPARIN SODIUM","Oligosaccharide","Antithrombin-III activator","Activator","SERPINC1","serpin family C member 1",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04512079%22,https://clinicaltrials.gov/search?id=%22NCT04406389%22"
"MONDO_0100096","COVID-19","CHEMBL1200694","SEVOFLURANE","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRB3","gamma-aminobutyric acid type A receptor subunit beta3",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL1200694","SEVOFLURANE","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRP","gamma-aminobutyric acid type A receptor subunit pi",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL163","RITONAVIR","Small molecule","Cytochrome P450 3A inhibitor","Inhibitor","CYP3A43","cytochrome P450 family 3 subfamily A member 43",4,"Completed","https://clinicaltrials.gov/search?id=%22NCT04291729%22"
"MONDO_0100096","COVID-19","CHEMBL163","RITONAVIR","Small molecule","Cytochrome P450 3A inhibitor","Inhibitor","CYP3A43","cytochrome P450 family 3 subfamily A member 43",4,"Not yet recruiting","https://clinicaltrials.gov/search?id=%22NCT04286503%22"
"MONDO_0100096","COVID-19","CHEMBL1200694","SEVOFLURANE","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRB2","gamma-aminobutyric acid type A receptor subunit beta2",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL1535","HYDROXYCHLOROQUINE","Small molecule","Toll-like receptor 7 antagonist","Antagonist","TLR7","toll like receptor 7",4,"Active, not recruiting","https://clinicaltrials.gov/search?id=%22NCT04316377%22"
"MONDO_0100096","COVID-19","CHEMBL1201561","PEGINTERFERON ALFA-2B","Protein","Interferon alpha/beta receptor agonist","Agonist","IFNAR1","interferon alpha and beta receptor subunit 1",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04254874%22"
"MONDO_0100096","COVID-19","CHEMBL1200694","SEVOFLURANE","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRB1","gamma-aminobutyric acid type A receptor subunit beta1",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL237500","LINAGLIPTIN","Small molecule","Dipeptidyl peptidase IV inhibitor","Inhibitor","DPP4","dipeptidyl peptidase 4",4,"Withdrawn","https://clinicaltrials.gov/search?id=%22NCT04341935%22"
"MONDO_0100096","COVID-19","CHEMBL1200694","SEVOFLURANE","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRA1","gamma-aminobutyric acid type A receptor subunit alpha1",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL1201562","INTERFERON BETA-1A","Protein","Interferon alpha/beta receptor agonist","Agonist","IFNAR2","interferon alpha and beta receptor subunit 2",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT02735707%22"
"MONDO_0100096","COVID-19","CHEMBL384467","DEXAMETHASONE","Small molecule","Glucocorticoid receptor agonist","Agonist","NR3C1","nuclear receptor subfamily 3 group C member 1",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04834375%22,https://clinicaltrials.gov/search?id=%22NCT04530409%22,https://clinicaltrials.gov/search?id=%22NCT04780581%22,https://clinicaltrials.gov/search?id=%22NCT04528329%22,https://clinicaltrials.gov/search?id=%22NCT04663555%22,https://clinicaltrials.gov/search?id=%22NCT04707534%22,https://clinicaltrials.gov/search?id=%22NCT04726098%22"
"MONDO_0100096","COVID-19","CHEMBL1200694","SEVOFLURANE","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRA5","gamma-aminobutyric acid type A receptor subunit alpha5",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL902","FAMOTIDINE","Small molecule","Histamine H2 receptor antagonist","Antagonist","HRH2","histamine receptor H2",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04836806%22"
"MONDO_0100096","COVID-19","CHEMBL1690","HYDROXYCHLOROQUINE SULFATE","Small molecule","Toll-like receptor 7 antagonist","Antagonist","TLR7","toll like receptor 7",4,"Active, not recruiting","https://clinicaltrials.gov/search?id=%22NCT04316377%22"
"MONDO_0100096","COVID-19","CHEMBL1200699","DOXYCYCLINE","Small molecule","Matrix metalloproteinase 13 inhibitor","Inhibitor","MMP13","matrix metallopeptidase 13",4,"Completed","https://clinicaltrials.gov/search?id=%22NCT04370782%22"
"MONDO_0100096","COVID-19","CHEMBL1069","VALSARTAN","Small molecule","Type-1 angiotensin II receptor antagonist","Antagonist","AGTR1","angiotensin II receptor type 1",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04335786%22"
"MONDO_0100096","COVID-19","CHEMBL501259","ERITORAN","Small molecule","Toll-like receptor 4/MD-2 antagonist","Antagonist","LY96","lymphocyte antigen 96",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT02735707%22"
"MONDO_0100096","COVID-19","CHEMBL163","RITONAVIR","Small molecule","Cytochrome P450 3A inhibitor","Inhibitor","CYP3A5","cytochrome P450 family 3 subfamily A member 5",4,"Not yet recruiting","https://clinicaltrials.gov/search?id=%22NCT04286503%22"
"MONDO_0100096","COVID-19","CHEMBL650","METHYLPREDNISOLONE","Small molecule","Glucocorticoid receptor agonist","Agonist","NR3C1","nuclear receptor subfamily 3 group C member 1",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04780581%22,https://clinicaltrials.gov/search?id=%22NCT04263402%22"
"MONDO_0100096","COVID-19","CHEMBL163","RITONAVIR","Small molecule","Cytochrome P450 3A inhibitor","Inhibitor","CYP3A4","cytochrome P450 family 3 subfamily A member 4",4,"Not yet recruiting","https://clinicaltrials.gov/search?id=%22NCT04286503%22"
"MONDO_0100096","COVID-19","CHEMBL526","PROPOFOL","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRA1","gamma-aminobutyric acid type A receptor subunit alpha1",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL778","DEXMEDETOMIDINE","Small molecule","Adrenergic receptor alpha-2 agonist","Agonist","ADRA2B","adrenoceptor alpha 2B",4,"Withdrawn","https://clinicaltrials.gov/search?id=%22NCT04350086%22"
"MONDO_0100096","COVID-19","CHEMBL163","RITONAVIR","Small molecule","Cytochrome P450 3A inhibitor","Inhibitor","CYP3A4","cytochrome P450 family 3 subfamily A member 4",4,"Completed","https://clinicaltrials.gov/search?id=%22NCT04291729%22"
"MONDO_0100096","COVID-19","CHEMBL547","ISOTRETINOIN","Small molecule","Retinoic acid receptor agonist","Agonist","RARA","retinoic acid receptor alpha",4,"Not yet recruiting","https://clinicaltrials.gov/search?id=%22NCT04623385%22"
"MONDO_0100096","COVID-19","CHEMBL1200694","SEVOFLURANE","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRD","gamma-aminobutyric acid type A receptor subunit delta",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL526","PROPOFOL","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRA5","gamma-aminobutyric acid type A receptor subunit alpha5",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL163","RITONAVIR","Small molecule","Cytochrome P450 3A inhibitor","Inhibitor","CYP3A43","cytochrome P450 family 3 subfamily A member 43",4,"Enrolling by invitation","https://clinicaltrials.gov/search?id=%22NCT04350684%22,https://clinicaltrials.gov/search?id=%22NCT04350671%22"
"MONDO_0100096","COVID-19","CHEMBL779","TADALAFIL","Small molecule","Phosphodiesterase 5A inhibitor","Inhibitor","PDE5A","phosphodiesterase 5A",4,"Withdrawn","https://clinicaltrials.gov/search?id=%22NCT04946162%22"
"MONDO_0100096","COVID-19","CHEMBL1200694","SEVOFLURANE","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRA2","gamma-aminobutyric acid type A receptor subunit alpha2",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL526","PROPOFOL","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRA3","gamma-aminobutyric acid type A receptor subunit alpha3",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL526","PROPOFOL","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRA6","gamma-aminobutyric acid type A receptor subunit alpha6",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL526","PROPOFOL","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRA2","gamma-aminobutyric acid type A receptor subunit alpha2",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL1201772","PRASUGREL","Small molecule","Purinergic receptor P2Y12 antagonist","Antagonist","P2RY12","purinergic receptor P2Y12",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT02735707%22"
"MONDO_0100096","COVID-19","CHEMBL1200694","SEVOFLURANE","Small molecule","Glycine receptor (alpha-1/beta) positive modulator","Positive modulator","GLRA1","glycine receptor alpha 1",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL1200694","SEVOFLURANE","Small molecule","Potassium channel subfamily K member 9 opener","Opener","KCNK9","potassium two pore domain channel subfamily K member 9",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL1201562","INTERFERON BETA-1A","Protein","Interferon alpha/beta receptor agonist","Agonist","IFNAR2","interferon alpha and beta receptor subunit 2",4,"Enrolling by invitation","https://clinicaltrials.gov/search?id=%22NCT04350684%22,https://clinicaltrials.gov/search?id=%22NCT04350671%22"
"MONDO_0100096","COVID-19","CHEMBL526","PROPOFOL","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRG1","gamma-aminobutyric acid type A receptor subunit gamma1",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL514800","APREMILAST","Small molecule","Phosphodiesterase 4 inhibitor","Inhibitor","PDE4B","phosphodiesterase 4B",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT02735707%22"
"MONDO_0100096","COVID-19","CHEMBL1200694","SEVOFLURANE","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRA3","gamma-aminobutyric acid type A receptor subunit alpha3",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL1200694","SEVOFLURANE","Small molecule","Potassium channel subfamily K member 10 opener","Opener","KCNK10","potassium two pore domain channel subfamily K member 10",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL1433","DOXYCYCLINE","Small molecule","Matrix metalloproteinase 8 inhibitor","Inhibitor","MMP8","matrix metallopeptidase 8",4,"Completed","https://clinicaltrials.gov/search?id=%22NCT04370782%22"
"MONDO_0100096","COVID-19","CHEMBL25","ASPIRIN","Small molecule","Cyclooxygenase inhibitor","Inhibitor","PTGS2","prostaglandin-endoperoxide synthase 2",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT02735707%22"
"MONDO_0100096","COVID-19","CHEMBL163","RITONAVIR","Small molecule","Cytochrome P450 3A inhibitor","Inhibitor","CYP3A5","cytochrome P450 family 3 subfamily A member 5",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04738045%22,https://clinicaltrials.gov/search?id=%22NCT04345276%22,https://clinicaltrials.gov/search?id=%22NCT04255017%22,https://clinicaltrials.gov/search?id=%22NCT02735707%22"
"MONDO_0100096","COVID-19","CHEMBL25","ASPIRIN","Small molecule","Cyclooxygenase inhibitor","Inhibitor","PTGS1","prostaglandin-endoperoxide synthase 1",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT02735707%22"
"MONDO_0100096","COVID-19","CHEMBL1200694","SEVOFLURANE","Small molecule","Potassium channel subfamily K member 18 opener","Opener","KCNK18","potassium two pore domain channel subfamily K member 18",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL1535","HYDROXYCHLOROQUINE","Small molecule","Toll-like receptor 9 antagonist","Antagonist","TLR9","toll like receptor 9",4,"Withdrawn","https://clinicaltrials.gov/search?id=%22NCT04338906%22,https://clinicaltrials.gov/search?id=%22NCT04351919%22"
"MONDO_0100096","COVID-19","CHEMBL1201561","PEGINTERFERON ALFA-2B","Protein","Interferon alpha/beta receptor agonist","Agonist","IFNAR2","interferon alpha and beta receptor subunit 2",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04254874%22"
"MONDO_0100096","COVID-19","CHEMBL848","LENALIDOMIDE","Small molecule","CRL4(CRBN) E3 ubiquitin ligase inhibitor","Inhibitor","DDB1","damage specific DNA binding protein 1",4,"Not yet recruiting","https://clinicaltrials.gov/search?id=%22NCT04361643%22"
"MONDO_0100096","COVID-19","CHEMBL1535","HYDROXYCHLOROQUINE","Small molecule","Toll-like receptor 7 antagonist","Antagonist","TLR7","toll like receptor 7",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04351191%22,https://clinicaltrials.gov/search?id=%22NCT04346667%22,https://clinicaltrials.gov/search?id=%22NCT04341493%22"
